2019-04-18 17:31.59 STOP predict_per_district      region=Region(district_name='Vranov nad Topľou', region_name='Prešovský', area=769233414.0, geometry=<ee.geometry.Geometry object at 0x11e76da90>)
2019-04-18 17:31.59 START predict_per_district     region=Region(district_name='Gelnica', region_name='Košický', area=584310115.0, geometry=<ee.geometry.Geometry object at 0x11e76db70>)
2019-04-18 17:32.30 STOP predict_per_district      region=Region(district_name='Gelnica', region_name='Košický', area=584310115.0, geometry=<ee.geometry.Geometry object at 0x11e76db70>)
2019-04-18 17:32.30 START predict_per_district     region=Region(district_name='Michalovce', region_name='Košický', area=1019236154.0, geometry=<ee.geometry.Geometry object at 0x11e76dd30>)
2019-04-18 17:33.29 STOP predict_per_district      region=Region(district_name='Michalovce', region_name='Košický', area=1019236154.0, geometry=<ee.geometry.Geometry object at 0x11e76dd30>)
2019-04-18 17:33.29 START predict_per_district     region=Region(district_name='Rožňava', region_name='Košický', area=1173348104.0, geometry=<ee.geometry.Geometry object at 0x11e76ddd8>)
2019-04-18 17:34.15 STOP predict_per_district      region=Region(district_name='Rožňava', region_name='Košický', area=1173348104.0, geometry=<ee.geometry.Geometry object at 0x11e76ddd8>)
2019-04-18 17:34.15 START predict_per_district     region=Region(district_name='Sobrance', region_name='Košický', area=538167833.0, geometry=<ee.geometry.Geometry object at 0x11e76de80>)
2019-04-18 17:34.40 STOP predict_per_district      region=Region(district_name='Sobrance', region_name='Košický', area=538167833.0, geometry=<ee.geometry.Geometry object at 0x11e76de80>)
2019-04-18 17:34.40 START predict_per_district     region=Region(district_name='Spišská Nová Ves', region_name='Košický', area=587459110.0, geometry=<ee.geometry.Geometry object at 0x11e76df28>)
2019-04-18 17:35.10 STOP predict_per_district      region=Region(district_name='Spišská Nová Ves', region_name='Košický', area=587459110.0, geometry=<ee.geometry.Geometry object at 0x11e76df28>)
2019-04-18 17:35.10 START predict_per_district     region=Region(district_name='Trebišov', region_name='Košický', area=1073469994.0, geometry=<ee.geometry.Geometry object at 0x11e76dfd0>)
2019-04-18 17:35.48 STOP predict_per_district      region=Region(district_name='Trebišov', region_name='Košický', area=1073469994.0, geometry=<ee.geometry.Geometry object at 0x11e76dfd0>)
2019-04-18 17:35.48 START predict_per_district     region=Region(district_name='Bratislava I-V', region_name='Bratislavský', area=367627172.0, geometry=<ee.geometry.Geometry object at 0x11f7d4358>)
2019-04-18 17:36.07 STOP predict_per_district      region=Region(district_name='Bratislava I-V', region_name='Bratislavský', area=367627172.0, geometry=<ee.geometry.Geometry object at 0x11f7d4358>)
2019-04-18 17:36.07 START predict_per_district     region=Region(district_name='Košice I-IV and Košice - okolie', region_name='Košický', area=1778333031.0, geometry=<ee.geometry.Geometry object at 0x11f7d46a0>)
2019-04-18 17:36.43 STOP predict_per_district      region=Region(district_name='Košice I-IV and Košice - okolie', region_name='Košický', area=1778333031.0, geometry=<ee.geometry.Geometry object at 0x11f7d46a0>)
