2019-04-18 17:45.38 STOP predict_per_district      region=Region(district_name='Zlaté Moravce', region_name='Nitriansky', area=521176585.0, geometry=<ee.geometry.Geometry object at 0x11feb4198>)
2019-04-18 17:45.39 STOP predict_per_district      region=Region(district_name='Partizánske', region_name='Trenčiansky', area=301012685.0, geometry=<ee.geometry.Geometry object at 0x11225f4e0>)
2019-04-18 17:45.39 STOP predict_per_district      region=Region(district_name='Tvrdošín', region_name='Žilinský', area=478920302.0, geometry=<ee.geometry.Geometry object at 0x11feb4860>)
2019-04-18 17:45.41 STOP predict_per_district      region=Region(district_name='Medzilaborce', region_name='Prešovský', area=427252072.0, geometry=<ee.geometry.Geometry object at 0x120cd55f8>)
2019-04-18 17:45.41 STOP predict_per_district      region=Region(district_name='Sobrance', region_name='Košický', area=538167833.0, geometry=<ee.geometry.Geometry object at 0x120cd5fd0>)
2019-04-18 17:45.43 STOP predict_per_district      region=Region(district_name='Púchov', region_name='Trenčiansky', area=375109676.0, geometry=<ee.geometry.Geometry object at 0x11e993ba8>)
2019-04-18 17:45.43 STOP predict_per_district      region=Region(district_name='Gelnica', region_name='Košický', area=584310115.0, geometry=<ee.geometry.Geometry object at 0x120cd5cc0>)
2019-04-18 17:45.43 STOP predict_per_district      region=Region(district_name='Detva', region_name='Banskobystrický', area=449172078.0, geometry=<ee.geometry.Geometry object at 0x11feb4c18>)
2019-04-18 17:45.49 STOP predict_per_district      region=Region(district_name='Martin', region_name='Žilinský', area=735711545.0, geometry=<ee.geometry.Geometry object at 0x11feb45c0>)
2019-04-18 17:45.51 STOP predict_per_district      region=Region(district_name='Vranov nad Topľou', region_name='Prešovský', area=769233414.0, geometry=<ee.geometry.Geometry object at 0x120cd5be0>)
2019-04-18 17:45.56 STOP predict_per_district      region=Region(district_name='Žilina', region_name='Žilinský', area=815076682.0, geometry=<ee.geometry.Geometry object at 0x11feb4908>)
2019-04-18 17:45.59 STOP predict_per_district      region=Region(district_name='Galanta', region_name='Trnavský', area=641715625.0, geometry=<ee.geometry.Geometry object at 0x11e950dd8>)
2019-04-18 17:46.01 STOP predict_per_district      region=Region(district_name='Námestovo', region_name='Žilinský', area=690455235.0, geometry=<ee.geometry.Geometry object at 0x11feb4668>)
2019-04-18 17:46.01 STOP predict_per_district      region=Region(district_name='Ilava', region_name='Trenčiansky', area=358500865.0, geometry=<ee.geometry.Geometry object at 0x11225f9b0>)
2019-04-18 17:46.01 STOP predict_per_district      region=Region(district_name='Žarnovica', region_name='Banskobystrický', area=425087956.0, geometry=<ee.geometry.Geometry object at 0x120cd5208>)
2019-04-18 17:46.01 STOP predict_per_district      region=Region(district_name='Dunajská Streda', region_name='Trnavský', area=1074589421.0, geometry=<ee.geometry.Geometry object at 0x11e95b2b0>)
2019-04-18 17:46.04 STOP predict_per_district      region=Region(district_name='Spišská Nová Ves', region_name='Košický', area=587459110.0, geometry=<ee.geometry.Geometry object at 0x121d080b8>)
2019-04-18 17:46.04 STOP predict_per_district      region=Region(district_name='Levoča', region_name='Prešovský', area=421001569.0, geometry=<ee.geometry.Geometry object at 0x120cd5550>)
2019-04-18 17:46.04 STOP predict_per_district      region=Region(district_name='Topoľčany', region_name='Nitriansky', area=597633732.0, geometry=<ee.geometry.Geometry object at 0x11feb40f0>)
